"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Bijan Robinson",ATL,"5","4 out of 5 stars","0"
"2",1,"Jahmyr Gibbs",DET,"8","2 out of 5 stars","+1"
"3",1,"Saquon Barkley",PHI,"9","3 out of 5 stars","-1"
"4",2,"Christian McCaffrey",SF,"14","3 out of 5 stars","+1"
"5",2,"Derrick Henry",BAL,"7","4 out of 5 stars","-1"
"6",2,"Ashton Jeanty",LV,"8","2 out of 5 stars","0"
"7",2,"De'Von Achane",MIA,"12","4 out of 5 stars","0"
"8",2,"Jonathan Taylor",IND,"11","2 out of 5 stars","+1"
"9",3,"Josh Jacobs",GB,"5","4 out of 5 stars","-1"
"10",3,"Bucky Irving",TB,"9","3 out of 5 stars","0"
"11",3,"Chase Brown",CIN,"10","4 out of 5 stars","0"
"12",3,"Kyren Williams",LAR,"8","3 out of 5 stars","0"
"13",3,"James Cook",BUF,"7","4 out of 5 stars","0"
"14",3,"Kenneth Walker III",SEA,"8","3 out of 5 stars","+3"
"15",3,"Omarion Hampton",LAC,"12","2 out of 5 stars","-1"
"16",4,"Alvin Kamara",NO,"11","4 out of 5 stars","0"
"17",4,"Breece Hall",NYJ,"9","5 out of 5 stars","-2"
"18",4,"Chuba Hubbard",CAR,"14","3 out of 5 stars","0"
"19",4,"James Conner",ARI,"8","3 out of 5 stars","0"
"20",4,"TreVeyon Henderson",NE,"14","4 out of 5 stars","0"
"21",4,"D'Andre Swift",CHI,"5","3 out of 5 stars","+3"
"22",4,"David Montgomery",DET,"8","2 out of 5 stars","-1"
"23",4,"Tony Pollard",TEN,"10","2 out of 5 stars","+2"
"24",4,"RJ Harvey",DEN,"12","2 out of 5 stars","-2"
"25",4,"Isiah Pacheco",KC,"10","2 out of 5 stars","-2"
"26",4,"Aaron Jones Sr.",MIN,"6","3 out of 5 stars","0"
"27",5,"Tyrone Tracy Jr.",NYG,"14","3 out of 5 stars","+2"
"28",5,"Kaleb Johnson",PIT,"5","4 out of 5 stars","0"
"29",5,"Jaylen Warren",PIT,"5","4 out of 5 stars","+2"
"30",5,"Travis Etienne Jr.",JAC,"8","2 out of 5 stars","+4"
"31",5,"Jordan Mason",MIN,"6","3 out of 5 stars","+2"
"32",5,"Zach Charbonnet",SEA,"8","3 out of 5 stars","+4"
"33",5,"Joe Mixon",HOU,"6","2 out of 5 stars","-6"
"34",5,"Javonte Williams",DAL,"10","2 out of 5 stars","+4"
"35",5,"J.K. Dobbins",DEN,"12","2 out of 5 stars","0"
"36",5,"Rhamondre Stevenson",NE,"14","4 out of 5 stars","+4"
"37",6,"Tank Bigsby",JAC,"8","2 out of 5 stars","+2"
"38",6,"Cam Skattebo",NYG,"14","3 out of 5 stars","-1"
"39",6,"Jacory Croskey-Merritt",WAS,"12","2 out of 5 stars","+9"
"40",6,"Austin Ekeler",WAS,"12","2 out of 5 stars","+3"
"41",6,"Quinshon Judkins",CLE,"9","4 out of 5 stars","-9"
"42",6,"Tyjae Spears",TEN,"10","2 out of 5 stars","+2"
"43",6,"Braelon Allen",NYJ,"9","5 out of 5 stars","+3"
"44",6,"Najee Harris",LAC,"12","2 out of 5 stars","-3"
"45",6,"Rachaad White",TB,"9","3 out of 5 stars","+6"
"46",6,"Trey Benson",ARI,"8","3 out of 5 stars","+4"
"47",6,"Ray Davis",BUF,"7","4 out of 5 stars","+6"
"48",6,"Brian Robinson Jr.",SF,"14","3 out of 5 stars","-18"
"49",6,"Jaydon Blue",DAL,"10","2 out of 5 stars","-7"
"50",6,"Nick Chubb",HOU,"6","2 out of 5 stars","-5"
"51",6,"Tyler Allgeier",ATL,"5","4 out of 5 stars","+6"
"52",6,"Jerome Ford",CLE,"9","4 out of 5 stars","-3"
"53",6,"Bhayshul Tuten",JAC,"8","2 out of 5 stars","-6"
"54",6,"Dylan Sampson",CLE,"9","4 out of 5 stars","+2"
"55",7,"Rico Dowdle",CAR,"14","3 out of 5 stars","-1"
"56",7,"Isaac Guerendo",SF,"14","3 out of 5 stars","-4"
